OBJECTID,parcel_py_PARCEL,parcel_py_PARCEL_NBR,parcel_py_ACRE,LAndBAnkTop100CSVUpdate_csv_PAR,LAndBAnkTop100CSVUpdate_csv_ACR,LAndBAnkTop100CSVUpdate_csv_OWN,LAndBAnkTop100CSVUpdate_csv_Add,LAndBAnkTop100CSVUpdate_csv_NUM,LAndBAnkTop100CSVUpdate_csv_DIR,LAndBAnkTop100CSVUpdate_csv_ST_,LAndBAnkTop100CSVUpdate_csv_SUF,LAndBAnkTop100CSVUpdate_csv_MIS,LAndBAnkTop100CSVUpdate_csv_CIT,LAndBAnkTop100CSVUpdate_csv_STA,LAndBAnkTop100CSVUpdate_csv_ZIP,LAndBAnkTop100CSVUpdate_csv_DEL,LAndBAnkTop100CSVUpdate_csv_VAC,LAndBAnkTop100CSVUpdate_csv_LAN,LAndBAnkTop100CSVUpdate_csv_ORI,LAndBAnkTop100CSVUpdate_csv_Sub,LAndBAnkTop100CSVUpdate_csv_Tax,LAndBAnkTop100CSVUpdate_csv_Sch,LAndBAnkTop100CSVUpdate_csv_UGD,LAndBAnkTop100CSVUpdate_csv_UGA,LAndBAnkTop100CSVUpdate_csv_Pla,LAndBAnkTop100CSVUpdate_csv_Map,LAndBAnkTop100CSVUpdate_csv_Use,LAndBAnkTop100CSVUpdate_csv_App,LAndBAnkTop100CSVUpdate_csv_A_1,LAndBAnkTop100CSVUpdate_csv_Rem,LAndBAnkTop100CSVUpdate_csv_R_1,LAndBAnkTop100CSVUpdate_csv_Unb,LAndBAnkTop100CSVUpdate_csv_R_2,LAndBAnkTop100CSVUpdate_csv_Bui,LAndBAnkTop100CSVUpdate_csv_Hom,LAndBAnkTop100CSVUpdate_csv_Res,LAndBAnkTop100CSVUpdate_csv_Sum,LAndBAnkTop100CSVUpdate_csv_Mea,LAndBAnkTop100CSVUpdate_csv_R_3,LAndBAnkTop100CSVUpdate_csv_B_1,LAndBAnkTop100CSVUpdate_csv_H_1,LAndBAnkTop100CSVUpdate_csv_S_1,LAndBAnkTop100CSVUpdate_csv_M_1,LAndBAnkTop100CSVUpdate_csv_Lot,LAndBAnkTop100CSVUpdate_csv_Ran,LAndBAnkTop100CSVUpdate_csv_R_4,LAndBAnkTop100CSVUpdate_csv_P_1,LAndBAnkTop100CSVUpdate_csv_Dem,LAndBAnkTop100CSVUpdate_csv_Und,LAndBAnkTop100CSVUpdate_csv_Flo,LAndBAnkTop100CSVUpdate_csv_His,LAndBAnkTop100CSVUpdate_csv_Soi,Shape__Area,Shape__Length
1,115005,115005,0.219100976443912,115005,0.219101,WYANDOTTE COUNTY LANDBANK,3031  ROOSEVELT ST ,3031,,ROOSEVELT,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6013,CALIFORNIA PARK,10,500,1,1,50,9544.039,Residential highest and best use,300,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,74,493710,6671.756757,0,0,0,0.294,0.149,0.055375,2067,,115005,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",9544.03863525391,404.758565545251
2,106629,106629,0.132186826640533,106629,0.132187,WYANDOTTE COUNTY LANDBANK,3032 N BETHANY ST ,3032,N,BETHANY,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R529,BOULEVARD PARK,10,500,1,1,50,5758.058,Residential highest and best use,260,0,<Null>,<Null>,<Null>,0,<Null>,1,47,353080,7512.340426,0,0,0.866,0.204,0.188,0.2655,1092,,106629,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 12 to 18 percent slopes",5758.05822753906,329.034320140005
3,210066,210066,0.0830722134519803,210066,0.083072,WYANDOTTE COUNTY LANDBANK,3005 N 11TH ST ,3005,N,11TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R560,PARKWOOD B6-11,10,500,1,1,30,3618.626,Residential highest and best use,230,0,<Null>,<Null>,<Null>,2,<Null>,<Null>,71,1251530,17627.1831,0.576,0,0,0.579,0.447,0.27225,1064,,210066,<Null>,<Null>,<Null>,Parkwood,"Knox silt loam, 7 to 12 percent slopes",3618.62561035156,320.041664424289
4,115383,115383,0.138041508061428,115383,0.138042,WYANDOTTE COUNTY LANDBANK,3034 N 16TH ST ,3034,N,16TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6106,MARIE PLACE,10,500,1,1,50,6013.088,Residential highest and best use,260,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,51,224650,4404.901961,0,0,0,0.104,0.048,0.019,2252,,115383,1999,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6013.08807373047,337.756702605897
5,293002,293002,0.155118536082641,293002,0.155119,WYANDOTTE COUNTY LANDBANK,2936 N GETTY ST ,2936,N,GETTY,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R7008,RIVERS EDGE EAST,10,500,1,1,68,6756.963,Residential highest and best use,2170,0,<Null>,<Null>,<Null>,0,<Null>,1,33,1537410,46588.18182,0,0,0.866,0.663,0.845,0.405,449,,293002,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6756.96331787109,336.061259374169
6,115368,115368,0.131805746659319,115368,0.131806,WYANDOTTE COUNTY LANDBANK,3011 N 17TH ST ,3011,N,17TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6309,MARIE PLACE,10,500,1,1,50,5741.458,Residential highest and best use,260,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,48,259360,5403.333333,0,0,0,0.139,0.093,0.029,2191,,115368,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",5741.45831298828,329.643897808837
7,158617,158617,0.139139319249754,158617,0.139139,WYANDOTTE COUNTY LANDBANK,2914  HIAWATHA ST ,2914,,HIAWATHA,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6366,ELMGROVE PLACE,10,500,1,1,25,6060.909,Residential highest and best use,260,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,49,370600,7563.265306,0.317,0,0,0.216,0.19,0.13,1781,,158617,2002,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",6060.90875244141,349.718926157897
8,094567,94567,0.0738339878433494,94567,0.073834,WYANDOTTE COUNTY LANDBANK,206  STEWART AVE ,206,,STEWART,AVE,,KANSAS CITY,KS,66101,Y,Y,<Null>,R2895,EDGERTON PLACE B7-19,10,500,1,1,25,3216.209,Residential highest and best use,220,0,<Null>,<Null>,<Null>,1,<Null>,1,55,551460,10026.54546,0.317,0,0.866,0.328,0.271,0.370625,623,,94567,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3216.20849609375,293.742542734407
9,293026,293026,0.192324239177,293026,0.192324,WYANDOTTE COUNTY LANDBANK,3016 N GETTY ST ,3016,N,GETTY,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6778,RIVERS EDGE EAST,10,500,1,1,75,8377.644,Residential highest and best use,2180,0,LBHD,0,<Null>,0,<Null>,1,30,1282790,42759.66667,0,0,0.866,0.588,0.826,0.39325,510,,293026,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",8377.64379882813,372.85267844244
10,115232,115232,0.266463819675744,115232,0.266464,WYANDOTTE COUNTY LANDBANK,3009 N 16TH ST ,3009,N,16TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6290,MARIE PLACE,10,500,1,1,115,11607.164,Residential highest and best use,320,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,46,163600,3556.521739,0,0,0,0.055,0.028,0.010375,2307,,115232,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",11607.1640014648,432.160773734528
11,115259,115259,0.13267330375935,115259,0.132673,WYANDOTTE COUNTY LANDBANK,1358  WEBSTER AVE ,1358,,WEBSTER,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6454,MARIE PLACE,10,500,1,1,50,5779.249,Residential highest and best use,260,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,46,252300,5484.782609,0,0,0,0.133,0.096,0.028625,2192,,115259,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",5779.24914550781,329.23710575041
12,094233,94233,0.14947753313642,94233,0.149478,WYANDOTTE COUNTY LANDBANK,330  CLEVELAND AVE ,330,,CLEVELAND,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R2499,PASFIELD PLACE,10,500,1,1,50,6511.241,Residential highest and best use,270,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,39,249980,6409.74359,0,0,0,0.129,0.139,0.0335,2170,,94233,1996,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6511.24127197266,351.678563703387
13,906509,906509,0.111619484802568,906509,0.111619,WYANDOTTE COUNTY LANDBANK,862  QUINDARO BLVD ,862,,QUINDARO,BLVD,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R870,<Null>,10,500,1,1,50,4862.145,Residential highest and best use,250,0,<Null>,<Null>,<Null>,2,<Null>,<Null>,70,1085850,15512.14286,0.576,0,0,0.522,0.407,0.260125,1123,,906509,<Null>,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",4862.14471435547,301.531108460868
14,115752,115752,0.0922369843301506,115752,0.092237,WYANDOTTE COUNTY LANDBANK,1523  YECKER AVE ,1523,,YECKER,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6694,BROWNES PARK,10,500,1,1,34,4017.843,Residential highest and best use,230,0,<Null>,<Null>,<Null>,3,<Null>,<Null>,76,2168700,28535.52632,0.76,0,0,0.824,0.653,0.374625,606,,115752,2000,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4017.84301757813,309.639338921377
15,158512,158512,0.0745294726413825,158512,0.074529,BD OF COUNTY COMMISSIONERS,3044  HIAWATHA ST ,3044,,HIAWATHA,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6266,ELMGROVE PLACE,10,500,1,1,25,3246.504,Residential highest and best use,220,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,34,284460,8366.470588,0,0,0,0.159,0.226,0.048125,2104,,158512,#N/A,#N/A,#N/A,#N/A,#N/A,3246.50378417969,297.515135172923
16,115553,115553,0.174666982138911,115553,0.174667,WYANDOTTE COUNTY LANDBANK,3007  HIAWATHA ST ,3007,,HIAWATHA,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6184,CISSNA PLACE,10,500,1,1,50,7608.494,Residential highest and best use,280,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,45,379760,8439.111111,0,0,0,0.222,0.233,0.056875,2058,,115553,2009,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",7608.49371337891,402.499033670145
17,105918,105918,0.439847502924151,105918,0.439848,WYANDOTTE COUNTY LANDBANK,3007 N 10TH ST ,3007,N,10TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R626,PARKWOOD FARMS,10,500,1,1,55,19159.757,Residential highest and best use,400,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,16,591470,36966.875,0,0,0,0.345,0.771,0.1395,1726,,105918,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",19159.7572021484,789.262287889516
18,109665,109665,0.0990380540457994,109665,0.099038,WYANDOTTE COUNTY LANDBANK,2601  SHERMAN ST ,2601,,SHERMAN,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R1602,"LONG BROS ADD, EDGERTON PLACE",10,500,1,1,30,4314.098,Residential highest and best use,240,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,50,389290,7785.8,0.317,0,0,0.233,0.2,0.133375,1756,,109665,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4314.09765625,319.454204039009
19,156707,156707,0.0520173973658136,156707,0.052017,WYANDOTTE COUNTY LANDBANK,944  GREELEY AVE ,944,,GREELEY,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R1344,ROCKINGHAM PLACE,10,500,1,1,39,2265.878,Residential highest and best use,200,0,<Null>,<Null>,<Null>,4,<Null>,<Null>,92,1313300,14275,0.866,0,0,0.596,0.376,0.338,789,,156707,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",2265.8779296875,190.713211782482
20,094512,94512,0.107390112344579,94512,0.10739,WYANDOTTE COUNTY LANDBANK,107  GREELEY AVE ,107,,GREELEY,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R2722,EDGERTON PLACE B7-19,10,500,1,1,35,4677.913,Residential highest and best use,250,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,43,63880,1485.581395,0.317,0,0,0.022,0.008,0.083,1963,,94512,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4677.91326904297,315.718779158099
21,093722,93722,0.111743091038485,93722,0.111743,WYANDOTTE COUNTY LANDBANK,1111  TENNY AVE ,1111,,TENNY,AVE,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R48483,BELLE VIEW ADD,10,500,2,2,33.2,4867.529,Residential highest and best use,810,0,LBHD,31,<Null>,3,<Null>,<Null>,31,1142280,36847.74194,0.76,0,0,0.541,0.769,0.35375,717,,93722,1999,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4867.52905273438,324.35062721573
22,131814,131814,0.0930774090426419,131814,0.093077,WYANDOTTE COUNTY LANDBANK,2618 N 8TH ST ,2618,N,8TH,ST,,KANSAS CITY,KS,66101,Y,Y,<Null>,R1691,MERRIAM PLACE,10,500,1,1,36.5,4054.452,Residential highest and best use,230,0,<Null>,<Null>,<Null>,4,<Null>,<Null>,105,1286720,12254.47619,0.866,0,0,0.589,0.331,0.3315,817,,131814,1998,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",4054.45190429688,298.328002404459
23,115917,115917,0.0684650101066118,115917,0.068465,WYANDOTTE COUNTY LANDBANK,1515  HASKELL AVE ,1515,,HASKELL,AVE,,KANSAS CITY,KS,66104,Y,Y,<Null>,R8334,BARNES ADD B1-7,10,500,1,1,25,2982.336,Residential highest and best use,210,0,<Null>,<Null>,<Null>,2,2,2,88,1738300,19753.40909,0.576,0.982,0.969,0.72,0.486,0.7825,25,11,115917,2016,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",2982.33581542969,292.423644219583
24,093809,93809,0.142153761480848,93809,0.142154,WYANDOTTE COUNTY LANDBANK,1021  TENNY AVE ,1021,,TENNY,AVE,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R48505,FORD & ROOTS ADD,10,500,2,2,50,6192.218,Residential highest and best use,720,0,LBHD,31,<Null>,3,<Null>,<Null>,63,2023950,32126.19048,0.76,0,0,0.792,0.712,0.378,587,,93809,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6192.21795654297,346.819652078611
25,093829,93829,0.14384979299211,93829,0.14385,WYANDOTTE COUNTY LANDBANK,1022  RIVERVIEW AVE ,1022,,RIVERVIEW,AVE,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R48522,FORD & ROOTS ADD,10,500,2,2,50,6266.097,Residential highest and best use,730,0,LBHD,29,<Null>,4,<Null>,<Null>,66,1922920,29135.15152,0.866,0,0,0.768,0.66,0.395,500,,93829,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6266.09698486328,350.542963736741
26,093891,93891,0.126372712592077,93891,0.126373,WYANDOTTE COUNTY LANDBANK,1024  FORD AVE ,1024,,FORD,AVE,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R48656,FORD & ROOTS ADD,10,500,2,2,50,5504.795,Residential highest and best use,680,0,LBHD,31,<Null>,5,<Null>,<Null>,72,1695300,23545.83333,0.939,0,0,0.709,0.575,0.39525,497,,93891,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",5504.79522705078,320.097197655358
27,115381,115381,0.103803568716092,115381,0.103804,WYANDOTTE COUNTY LANDBANK,3028 N 16TH ST ,3028,N,16TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6104,MARIE PLACE,10,500,1,1,37.5,4521.683,Residential highest and best use,240,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,48,199340,4152.916667,0,0,0,0.088,0.041,0.016125,2270,,115381,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4521.68353271484,312.706346581712
28,115236,115236,0.201576886475674,115236,0.201577,WYANDOTTE COUNTY LANDBANK,1352  ROSWELL AVE ,1352,,ROSWELL,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6295,MARIE PLACE,10,500,1,1,75,8780.689,Residential highest and best use,290,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,46,121430,2639.782609,0,0,0,0.038,0.014,0.0065,2337,,115236,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",8780.68908691406,384.305812776591
29,132176,132176,0.108161722831157,132176,0.108162,WYANDOTTE COUNTY LANDBANK,2600 N ALLIS ST ,2600,N,ALLIS,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R1686,COBB HEIGHTS,10,500,1,1,37.5,4711.525,Residential highest and best use,250,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,85,702940,8269.882353,0.317,0,0,0.384,0.224,0.15525,1633,,132176,2002,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4711.52471923828,327.21602629895
30,156811,156811,0.0599715701968981,156811,0.059972,WYANDOTTE COUNTY LANDBANK,2206 N 11TH ST ,2206,N,11TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R1289,ROCKINGHAM PLACE,10,500,1,1,33.33,2612.362,Residential highest and best use,210,0,<Null>,<Null>,<Null>,3,<Null>,<Null>,91,1455350,15992.85714,0.76,0,0,0.636,0.419,0.321875,850,,156811,1998,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",2612.36157226563,222.161595251621
31,158618,158618,0.0737893340067085,158618,0.073789,WYANDOTTE COUNTY LANDBANK,2910  HIAWATHA ST ,2910,,HIAWATHA,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6365,ELMGROVE PLACE,10,500,1,1,25,3214.263,Residential highest and best use,220,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,46,274770,5973.26087,0.317,0,0,0.152,0.116,0.11275,1853,,158618,<Null>,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",3214.26336669922,305.535322360825
32,094349,94349,0.117988817411257,94349,0.117989,WYANDOTTE COUNTY LANDBANK,2311 N 5TH ST ,2311,N,5TH,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R2598,MOUNT PLEASANT,300,500,1,1,42,5139.593,Residential highest and best use,260,0,<Null>,<Null>,<Null>,3,<Null>,<Null>,64,773730,12089.53125,0.76,0,0,0.405,0.325,0.28125,1027,,94349,2008,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",5139.59289550781,325.74789209502
33,298020,298020,0.136891977370041,298020,0.136892,WYANDOTTE COUNTY LANDBANK,1114  RIVERVIEW AVE ,1114,,RIVERVIEW,AVE,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R48496,VILLAGE OF FOUNTAINS,10,500,2,2,50.02,5963.015,Residential highest and best use,860,0,LBHD,31,<Null>,3,<Null>,<Null>,32,1207500,37734.375,0.76,0,0,0.566,0.781,0.358375,694,,298020,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",5963.01452636719,339.343813067666
34,212813,212813,0.129375378020902,212813,0.129375,WYANDOTTE COUNTY LANDBANK,124 S 13TH ST ,124,S,13TH,ST,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R58799,BOSTON PLACE ANNEX B2,10,500,2,2,45,5635.591,Residential highest and best use,690,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,79,2411900,30530.37975,0.317,0,0,0.862,0.687,0.272875,1059,,212813,1998,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",5635.59155273438,340.98490394066
35,067342,67342,0.262032803397592,67342,0.262033,WYANDOTTE COUNTY LANDBANK,1225  GILMORE AVE ,1225,,GILMORE,AVE,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R59277,ROCK ISLAND PLACE,10,500,2,2,100,11414.149,Residential highest and best use,1040,0,LBHD,29,<Null>,0,<Null>,<Null>,25,497870,19914.8,0,0,0,0.297,0.492,0.098625,1917,,67342,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 12 to 18 percent slopes",11414.1488647461,428.484235278968
